links,titles
https://www.youtube.com/watch?v=qIzzphAT61Q,"CPBFI | Certificate Programme in Banking, Finance and Insurance"
https://www.youtube.com/watch?v=-uWo6T3UokI,Fraud Scenarios | Loan Scam
https://www.youtube.com/watch?v=yLVZHdQ11JE&t=2s,Bajaj Finserv Annual Report FY21 I Message from Chairman & Managing Director Sanjiv Bajaj.
https://www.youtube.com/watch?v=U7SNWJ4lKqE,Bajaj Finance Annual Report FY21 I Message from Chairman Sanjiv Bajaj
https://www.youtube.com/watch?v=B1tIsu1wVAA,Bajaj Finserv - Celebrating Doctors' Day
https://www.youtube.com/watch?v=Z2ceAjFWbwo,"COVID-19 Response I Message from Chairman & Managing Director, Sanjiv Bajaj"
https://www.youtube.com/watch?v=Uks6UvieU7E,"Bajaj Finserv- Business Responsibility Report I Message from CMD, Sanjiv Bajaj"
https://www.youtube.com/watch?v=4f8knZt1KyU,Invest with Systematic Deposit Plan
https://www.youtube.com/watch?v=0T5qXmC02R4,10% off on Mothercare | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=rR4ORIUeDzU,10% off on Satya Paul | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=tUTMFzbiTPk,Flat 25% off on Talisman Jewellery | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=LOYm0RuXBgc,Bajaj Finserv Personal Loan in 24 hours*
https://www.youtube.com/watch?v=ERu65hvqIA8,Hassle free Personal Loans by Bajaj Finserv
https://www.youtube.com/watch?v=6cjJafP_TYw,Play the EMI Network Powerplay and stand a chance to win a vivo Y20G
https://www.youtube.com/watch?v=VhsvtDjyXD8,10% off on AND apparel | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=nfEfwiEaL_A,10% off on Global Desi | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=KQmlNwtmGQE,Rs. 550 off on Pepperfry | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=8xeYWzpiOPM,10% off on Boat products | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=zAnr1_qPlP4,Together As One
https://www.youtube.com/watch?v=h1b3DjfW5Rw,"Rs. 1,000 off on US Polo | Bajaj Finserv RBL Bank SuperCard"
https://www.youtube.com/watch?v=0jlXW3zLOm8,17% off on prescribed medicines on 1mg | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=NipRU-MVTXk,15% off on traditional Indian designer wear at Kalki fashion | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=_SSDdJBdeRg,50% off on subscriptions of Simple. Soulful app by Shilpa Shetty | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=J4DpfBaCJVQ,5% off on Accessorize London | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=A3M8TeMpHaI,Flat 50% off on doctor’s consultation on Practo | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=Vk3DQjrIOTw,Get 15% off on Bewakoof.com | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=ZfDizK27YD8,"Get up to Rs. 1,000 off on the latest collection at Flying Machine |Bajaj Finserv RBL Bank SuperCard"
https://www.youtube.com/watch?v=0JPCkk7N2t0,Rs. 250 off on Metro Shoes | Bajaj Finserv RBL Bank SuperCard
https://www.youtube.com/watch?v=vDjBeQEmgRM,Na Ji Na Ji: Online Fraud Se Bachein | #SavdhaanRaheinSafeRahein | Bajaj Finserv
